Page #,Slide,Stage Direction in Script,custom,id,Type,Visuals,Text ,Voting Results ,Result Type,Slide,Title,Text
,42,"Henrietta — Alfie will remain in the Love Nest tonight. You are now alone and, therefore, ",FALSE,blue5,Image,Blue background,"Henrietta — Alfie will remain in the Love Nest tonight. You are now alone and, therefore, ",,,,,
,43,UNSAFE.,FALSE,blue6,Image,Blue background,UNSAFE.,,,,,
,44,"(SCORE SCREEN: “Which Island Dater is the loneliest, biggest flop??”)",FALSE,vote-loneliest,Image,Vote ,"VOTE NOW: Which Island Dater is the loneliest, biggest flop??",No results,,44,Loneliest Biggest Flop,"VOTE NOW: 
Who is the loneliest, biggest FLOP??"
20,45,(SCORE SCREEN plays Henrietta’s pre-recorded reaction in a confessional-style revelation.),FALSE,video-henrietta-lonely,Video,Video - Henrietta's pre-recorded reaction in confessional,,,,46,Thanks,Thanks for voting!
21,46,Top of Scene 5,FALSE,gym1,Image,Gym,,,,,,
24,47,Top of Scene 6,FALSE,makeup1,Image,Makeup room,,,,,,
,48,(NAMELESS ONSCREEN WOMAN appears onscreen. ,FALSE,nameless-red1,Image,Nameless Onscreen Woman,,,,,,
,49,,FALSE,nameless-red1-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,50,NAMELESS ONSCREEN WOMAN vanishes as the screen goes dark. ,FALSE,black2,Image,Black,,,,,,
28,51,"(A flashy commercial, à la Jet2 Holiday ad, airs on the Score Screen.)",FALSE,commercial1,Video,Video - Commercial I,,,,,,
29,52,Top of Scene 7A,FALSE,pink2,Image,Pink background,,,,,,
,53,(SCORE SCREEN DING!) “Message in a bottle! ,FALSE,message3,Image,Alert,Message in a bottle!,,,,,
,54,… Marta!”,FALSE,message-marta1,Image,Alert,Marta!,,,,,
,55,The Score Screen reflects this message: “CHALLENGE 2: Mono Poly!”,FALSE,challenge2,Image,Pink background,CHALLENGE 2: Mono Poly!,,,,,
,56,(SCORE SCREEN DING!) “Message in a bottle! ,FALSE,message4,Image,Alert,Message in a bottle!,,,,,
,57,… Henrietta!”,FALSE,message-henrietta2,Image,Alert,Henrietta!,,,,,
,58,"“Henrietta, you are alone, and therefore unsafe, ",FALSE,blue7,Image,Blue background,"Henrietta, you are alone and, therefore, unsafe.",,,,,
,59,so you’ll need to rotate among the couples…”,FALSE,blue8,Image,Blue background,so you’ll need to rotate among the couples…,,,,,
30,60,"(The others dissolve, leaving HENRIETTA, ALFIE, and the image of NAMELESS ONSCREEN WOMAN.)",FALSE,nameless-red2,Image,Nameless Onscreen Woman,,,,,,
,61,,FALSE,nameless-red2-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,62,,FALSE,nameless-red3,Image,Nameless Onscreen Woman,,,,,,
32,63,Top of Scene 7A,FALSE,pink3,Image,Pink background,,,,,,
41,64,"(SCORE SCREEN: “VOTE NOW for the raftiest, craftiest Island Dater!”)",FALSE,vote-raftiest,Image,Vote + QR code,"VOTE NOW for the raftiest, craftiest Island Dater!",Results on Slide 65,,64,Raft,"VOTE NOW 
for the Raftiest, Craftiest Island Dater!"
43,65,(SCORE SCREEN announces [the winners] of Challenge 2. ,TRUE,results-challenge-two,Image,Live Vote results,Challenge 2 Winners,Challenge 2 Winners Results (couple),Complete ranking,,,
,66,Score Screen plays their pre-recorded reaction in a confessional-style revelation.),TRUE,video-two-winner-aw,Video,Video - [Winners'] pre-recorded reaction in confessional,Challenge 2 Winners: Alfie & Woman,Top couple from Slide 65 results,,66,Thanks,Thanks for voting!
,67,,FALSE,video-two-winner-cc,Video,,Challenge 2 Winners: Charlotte & Callum,,,,,
,68,,FALSE,video-two-winner-mt,Video,,Challenge 2 Winners: Marta & Thaddeus,,,,,
,69,,FALSE,video-two-winner-pr,Video,,Challenge 2 Winners: Poppi & Rory,,,,,
45,70,Top of Scene 8,FALSE,pink4,Image,Pink background,,,,,,
51,71,(SCORE SCREEN DING!) “Message In A Bottle! ,FALSE,message5,Image,Alert,Message in a bottle!,,,,,
,72,… Rory!”,FALSE,message-rory,Image,Alert,Rory!,,,,,
,73,“Now the Island Daters will play a salacious game of Truth or Dare—with a twist! ,FALSE,blue9,Image,Blue background,Now the Island Daters will play a salacious game of Truth or Dare—with a twist! ,,,,,
,74,"In this version, they either Take A Shot & Tell The Truth, or Blow Kisses To Someone For At Least Sixty Seconds In Order To Get To Know Them Better.”",FALSE,blue10,Image,Blue background,"In this version, they either Take A Shot & Tell The Truth, or Blow Kisses To Someone For At Least Sixty Seconds In Order To Get To Know Them Better.",,,,,
,75,"""TASATTT or BKTSFALSSIOTGTKTB?""",FALSE,pink-tasattt,Image,Pink background,TASATTT or BKTSFALSSIOTGTKTB?,,,,,
,76,Truth or Dare,FALSE,nameless-red4,Image,Nameless,,,,,,
53,77,“Message In A Bottle!”,FALSE,message6,Image,Alert,Message in a bottle!,,,,,
,78,All!,FALSE,message-all1,Image,Alert,All!,,,,,
,79,"""This Message is just telling you to pay attention to Millicent.”",FALSE,blue11,Image,Blue background,This Message is just telling you to pay attention to Millicent.,,,,,
,80,"We're sorry, Millicent.",FALSE,pink5,Image,Pink background,,,,,,
55,81,Intermission prompts,FALSE,vote-intermission,Image,Vote + QR code,Are you the hottest bombshell at Island Dating Show?? Vote Now!,,,81,Intermission Prompts,"I’M THE HOTTEST
BOMBSHELL"
56,82,Top of Act 2 Scene 1,FALSE,pink5.1,Image,Pink background,,,,82,Thanks,Thanks for voting!
58,83,(SCORE SCREEN: “VOTE NOW for your favorite Island Dater couple!”),FALSE,vote-favorite,Image,Vote + QR code,VOTE NOW for your favorite Island Dater!,Results on Slide 84-87,,83,Favorite,"VOTE NOW 
for your FAVORITE Island Dater!"
59,84,"(Rankings appear on the SCORE SCREEN, as voted on by the audience. NAMELESS ONSCREEN WOMAN will always be first. ALFIE will not place in the top three.",TRUE,results-third-place,Image,Live Vote result -- third place,3rd Place,Favorite Island Dater Couple Results: 3rd Place (individual),Only 3rd place couple image,,,
,85,,TRUE,results-second-place,Image,Live Vote result -- second place,2nd Place,Favorite Island Dater Couple Results: 2nd Place (individual),Only 2nd place couple image,,,
,86,,TRUE,results-rigged,Image,All Live Vote results + Nameless Onscreen Woman,1st Place,Favorite Island Dater Couple Results: all (individual),Complete ranking with Onscreen Woman in 1st place,,,
60,87,"(Without a word, CALLUM’s ranking on the Score Screen drops.)",TRUE,results-edited,Image,All Live Vote results + Callum drops,,Favorite Island Dater Couple Results: all (individual),"Complete ranking with Onscreen Woman in 1st place, Callum at bottom",,,
61,88,(A flashy commercial airs on the SCORE SCREEN.),FALSE,commercial2,Video,Video - Commercial II,,,,88,Thanks,Thanks for voting!
62,89,Top of Scene 2,FALSE,gym2,Image,Gym,,,,,,
66,90,Top of Scene 3,FALSE,makeup2,Image,Makeup room,,,,,,
67,91,(NAMELESS ONSCREEN WOMAN pops onscreen suddenly.),FALSE,nameless-red5,Image,Nameless Onscreen Woman,,,,,,
,92,,FALSE,nameless-red5-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,93,(HENRIETTA smashes the power button. NAMELESS ONSCREEN WOMAN disappears.),FALSE,black3,Image,Black,,,,,,
70,94,(SCORE SCREEN pops back on with a DING!),FALSE,message7,Image,Alert,Message in a bottle!,,,,,
,95,All!,FALSE,message-all2,Image,Alert,All!,,,,,
,96,"""Noooo!""",FALSE,makeup3,Image,Makeup room,,,,,,
71,97,"(SCORE SCREEN: “The clock is ticking, Island Daters! Secure your couple or risk being ALONE AND THEREFORE UNSAFE!”)",FALSE,secure-couples,Image,Message,"The clock is ticking, Island Daters! Secure your couple or risk being ALONE AND THEREFORE UNSAFE!",,,,,
72,98,Top of Scene 4,FALSE,pink6,Image,Pink background,,,,,,
75,99,(SCORE SCREEN: “VOTE NOW: Are Charlotte and Callum 1) Sweetie Pie or 2) BORING OLD YAWN TOMATO TOMATO TOMATO?”),FALSE,vote-cc,Image,Vote + QR code,VOTE NOW: Are Charlotte and Callum 1) Sweetie Pie or 2) BORING OLD YAWN TOMATO TOMATO TOMATO?,Results go toward Slide 116,,99,Charlotte & Callum,"VOTE NOW: 
are Charlotte & Callum"
75A,100,(A flashy commercial airs on the SCORE SCREEN.),FALSE,commercial3,Video,Video - Commercial III,,,,,,
76,101,Top of Scene 5,FALSE,pink 6.1,Image,Pink background,,,,,,
,102,Top of Scene 6,FALSE,love-nest2,Image,Love Nest background,,,,102,Thanks,Thanks for voting!
80,103,(NAMELESS ONSCREEN WOMAN appears ,FALSE,love-nest2-nameless1,Image,Nameless Onscreen Woman,,,,,,
,104,,FALSE,love-nest2-nameless-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,105,,FALSE,love-nest2-nameless2,Image,Nameless Onscreen Woman,,,,,,
,106,... slowly shifting into an image of MILLICENT by the end of the song.),FALSE,nameless-millicent,Image,Nameless Onscreen Woman + Millicent face,,,,,,
82,107,"The SCORE SCREEN shifts suddenly, reflecting a 15 minute countdown until ‘Winner is Revealed’.",TRUE,video-timer,Video,Timer,15 Minute Countdown Until Winner is Revealed!,,,,,
83,108,Top of Scene 7,FALSE,stars2,Image,Stars,,,,,,
84,109,Last rites,FALSE,catholic-confessional,Image,Confessional (Religious),,,,,,
,110,"(POPPI, THADDEUS, HENRIETTA, and RORY rush back to the kitchen island, intersecting with CHARLOTTE and CALLUM.)",FALSE,stars3,Image,Stars,,,,,,
86,111,The SCORE SCREEN suddenly glitches.,FALSE,glitch-loop,Video,Glitch (LOOP),,,Loop ****,,,
88,112,"(Suddenly, there is a huge explosion.)",FALSE,explosion,Video,Explosion,,,,,,
,113,Top of Scene 8,FALSE,black4,Image,Black,,,,,,
91,114,Top of Scene 9,FALSE,pink7,Image,Pink background,,,,,,
92,115,(The Island Daters gather around the kitchen island.),FALSE,vote-favorite2,Image,Vote + QR code,VOTE NOW for your favorite Island Dater couple!,Results go toward Slide 116,,115,Final Vote, VOTE NOW  for your FAVORITE Island Dater Couple!
93,116,(SCORE SCREEN: “Votes are in! Announcing our winner!”),FALSE,vote-winners,Image,Vote,Votes are in! Announcing our winners!,,,,,
,117,,TRUE,results-winners-cc,Image,Live Vote results,Congratulations to our Winners! Charlotte & Callum,Winners,Only winning couple image,117,End,"Thanks for voting!
See you next time!"
,118,,FALSE,results-winners-hr,Image,,Congratulations to our Winners! Henrietta & Rory,Winners,,,,
,119,,FALSE,results-winners-md,Image,,Congratulations to our Winners! Marta & Sir David,Winners,,,,
,120,,FALSE,results-winners-pt,Image,,Congratulations to our Winners! Poppi & Thaddeus,Winners,,,,
,121,"Top of ""Next To You""",FALSE,pink8,Image,Pink background,,,,,,
,122,Curtain Call,FALSE,title-final,Image,Title Card,,,,,,
